"EDUCD","DEGFIELD","MD_INC","MD_FT"
2,0,32340.2494608386,63525.2784098379
11,0,37631.7446704853,75554.0997842838
12,0,32408.3275088805,64830.0438627073
14,0,27732.5993712476,49157.1791804747
15,0,28680.1469450693,51863.265725667
16,0,29114.3363011102,53721.1656742815
17,0,29526.0538393946,54822.5769261631
22,0,29114.3363011102,54147.1048454034
23,0,29098.1369838865,53000
25,0,31200,55287.2968923883
26,0,32232.6994045689,57509.0098939009
30,0,31206.6976348928,54355.8947676454
40,0,33623.815508012,59052.1076787892
50,0,34100,58740.093609846
61,0,36179.2254866209,68494.4862347089
63,0,41825.2142948927,77895.6902277082
64,0,39368.0717858594,69898.7855808579
65,0,46749.5852457081,84986.1340599073
71,0,47364.7113673621,85378.258576614
81,0,51670.5942189405,94274.9937369282
101,11,61512.6121654054,105775.739697997
101,13,61985.7591670789,103165.269661041
101,14,70517.1597986649,115367.61338439
101,15,53000,93027.2364668806
101,19,58793.110667045,105428.032550314
101,20,54970.2816447161,90664.9197411406
101,21,78056.1411733586,117554.729696688
101,22,50787.7602152269,89405.6847447358
101,23,52384.1758504368,105801.692924497
101,24,85695.3101832018,122484.257737362
101,25,80000,114791.055873188
101,26,54069.4817020617,98134.9519839891
101,29,48418.2943315373,103385.16183042
101,32,56918.839051076,107046.601635956
101,33,55000,99840
101,34,55701.8129058884,104637.313860933
101,35,48365.6533034559,94290.8378622419
101,36,57965.8951159876,105160.538798587
101,37,67247.631016024,116919.688098298
101,38,69109.1211154853,102792.331736556
101,40,54147.1048454034,1e+05
101,41,52714.0162751568,98653.1149566551
101,48,52137.2868179455,90439.4889544697
101,49,48523.8938351836,82088.494138893
101,50,64680.4989216773,109049.020756898
101,51,67590.247461017,116921.767670781
101,52,51744.3991373418,98488.4840099142
101,53,60443.279827427,104906.304384998
101,54,50000,94562.8894234922
101,55,60443.279827427,105428.032550314
101,56,76251.8331695742,113335.054152911
101,57,63973.1166520216,95626.1313047862
101,58,67247.631016024,101073.189417084
101,59,76541.9742646435,112786.085660472
101,60,51654.799305899,92072.2299125421
101,61,69000,125475.642884678
101,62,66558.2384909943,115367.61338439
101,64,57295.0869810339,101672.862067403
114,11,70997.727195197,117843.74217116
114,13,72092.6422694156,118000
114,14,77000,124775.727004758
114,15,67726.9386931756,115882.606786112
114,19,67726.9386931756,118232.096189058
114,20,66558.2384909943,106729.995842826
114,21,90140.9678305181,129788.565057439
114,22,59245.1998727035,85130.4835837216
114,23,69582.501483207,128333.479164434
114,24,95098.0426801914,132348.33639407
114,25,89534.9854635583,127501.326672458
114,26,68115.3489945396,117485.505896325
114,29,65230.2020855433,120020
114,32,68511.3536962064,109522.947170817
114,33,67151.4570928519,117011.903991128
114,34,71776.3947950696,119505.707688997
114,35,64809.8599195207,124255.476574119
114,36,71691.0621342132,123971.518334158
114,37,78000,127427.582255931
114,38,95651.1747718286,118504.990309039
114,40,65902.6783957036,115849.619669235
114,41,64680.4989216773,114788.442901998
114,48,60000,106753.251898858
114,49,55465.1987424953,96212.2222919891
114,50,77800,125075.888979586
114,51,87931.286415096,129550.816622232
114,52,65160.657435818,115573.283122768
114,53,69886.150415544,114289.641068391
